run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260815_063703_e580237d,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,False,0.09569377990430622,0.10309278350515463,0.09925558312655088,20,189,174,10,47,10,
20260815_063703_91f7a005,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,True,0.15432098765432098,0.25773195876288657,0.19305019305019303,50,274,144,20,37,67,
20260815_063703_f89b3f71,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,False,0.0,0.0,0.0,0,50,194,0,57,10,
20260815_063703_a9db241e,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,True,0.18248175182481752,0.25773195876288657,0.21367521367521367,50,224,144,20,37,57,
20260815_063703_e320a448,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,False,0.2857142857142857,0.10309278350515463,0.15151515151515152,20,50,174,10,47,0,
20260815_063703_637e69a8,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,True,0.2222222222222222,0.10309278350515463,0.14084507042253522,20,70,174,10,47,19,
20260815_063703_41f086f4,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,False,0.07462686567164178,0.10309278350515463,0.08658008658008658,20,248,174,10,47,0,
20260815_063703_e396788c,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,False,0.14336917562724014,0.20618556701030927,0.16913319238900637,40,239,154,20,37,45,
20260815_063703_8eeea5e0,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,True,0.2864583333333333,0.5670103092783505,0.3806228373702422,110,274,84,40,17,57,
20260815_063703_6e301cca,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,False,0.14035087719298245,0.20618556701030927,0.16701461377870563,40,245,154,20,37,56,
20260815_063703_f80bc334,2026-08-15-0836-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,True,0.14124293785310735,0.25773195876288657,0.1824817518248175,50,304,144,20,37,77,
