run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260821_061318_0b9111bd,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,class_list,False,0.4916387959866221,0.7777777777777778,0.6024590163934426,147,152,42,49,1,41,
20260821_061318_279f8f42,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,class_list,True,0.855072463768116,0.31216931216931215,0.45736434108527135,59,10,130,20,30,0,
20260821_061318_1deb1281,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,compact,False,0.7435897435897436,0.15343915343915343,0.2543859649122807,29,10,160,10,40,0,
20260821_061318_89f81d1e,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,compact,True,0.5545851528384279,0.671957671957672,0.6076555023923444,127,102,62,49,1,21,
20260821_061318_6dfc49e3,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,json_ld,False,0.5903614457831325,0.7777777777777778,0.6712328767123287,147,102,42,49,1,31,
20260821_061318_3240f89a,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,json_ld,True,0.528957528957529,0.7248677248677249,0.6116071428571429,137,122,52,49,1,31,
20260821_061318_55b6e117,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,turtle,False,0.6385542168674698,0.8412698412698413,0.7260273972602739,159,90,30,50,0,30,
20260821_061318_105cc99a,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,turtle,True,0.6652719665271967,0.8412698412698413,0.7429906542056075,159,80,30,50,0,20,
20260821_061318_a862a5c7,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,few_shot,class_list,False,0.6138996138996139,0.8412698412698413,0.7098214285714286,159,100,30,50,0,30,
20260821_061318_225d7496,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,few_shot,class_list,True,0.5092936802973977,0.7248677248677249,0.5982532751091703,137,132,52,49,1,31,
20260821_061318_424e60fa,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,few_shot,compact,False,0.43944636678200694,0.671957671957672,0.5313807531380753,127,162,62,49,1,41,
20260821_061318_9f675f3a,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,few_shot,compact,True,0.516728624535316,0.7354497354497355,0.6069868995633189,139,130,50,50,0,30,
20260821_061318_66115ec5,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,few_shot,json_ld,False,0.5903614457831325,0.7777777777777778,0.6712328767123287,147,102,42,49,1,31,
20260821_061318_26075123,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,few_shot,json_ld,True,0.6555023923444976,0.7248677248677249,0.6884422110552764,137,72,52,49,1,21,
20260821_061318_7a8afb61,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,few_shot,turtle,False,0.6150627615062761,0.7777777777777778,0.6869158878504673,147,92,42,49,1,31,
20260821_061318_075ee38f,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,few_shot,turtle,True,0.6138996138996139,0.8412698412698413,0.7098214285714286,159,100,30,50,0,20,
20260821_061318_67b5708d,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,zero_shot,class_list,False,0.48,0.6349206349206349,0.5466970387243736,120,130,69,40,10,50,
20260821_061318_fe7b682e,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,zero_shot,class_list,True,0.6506550218340611,0.7883597883597884,0.7129186602870813,149,80,40,50,0,20,
20260821_061318_65c3dd49,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,zero_shot,compact,False,0.46488294314381273,0.7354497354497355,0.569672131147541,139,160,50,50,0,50,
20260821_061318_fbe0b6b4,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,zero_shot,json_ld,False,0.7129186602870813,0.7883597883597884,0.7487437185929648,149,60,40,50,0,20,
20260821_061318_24144bf3,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,zero_shot,json_ld,True,0.6255707762557078,0.7248677248677249,0.6715686274509804,137,82,52,49,1,21,
20260821_061318_d0252119,2026-08-21-0812-adsb-experiment,openrouter,anthropic/claude-opus-5,zero_shot,turtle,False,0.6385542168674698,0.8412698412698413,0.7260273972602739,159,90,30,50,0,30,
20260821_061318_0dfec7a9,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,class_list,False,0.4602510460251046,0.582010582010582,0.514018691588785,110,129,79,40,10,40,
20260821_061318_07aa8e5f,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,class_list,True,0.6255707762557078,0.7248677248677249,0.6715686274509804,137,82,52,49,1,21,
20260821_061318_b9dae8f3,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,compact,False,0.4349442379182156,0.6190476190476191,0.5109170305676857,117,152,72,49,1,41,
20260821_061318_385b8bfc,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,compact,True,0.46987951807228917,0.6190476190476191,0.5342465753424658,117,132,72,49,1,31,
20260821_061318_eacf50c5,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,json_ld,False,0.5982532751091703,0.7248677248677249,0.6555023923444976,137,92,52,49,1,31,
20260821_061318_64e7b02c,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,json_ld,True,0.6555023923444976,0.7248677248677249,0.6884422110552764,137,72,52,49,1,21,
20260821_061318_0425a181,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,turtle,False,0.5732217573221757,0.7248677248677249,0.6401869158878506,137,102,52,49,1,31,
20260821_061318_a87390a1,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,turtle,True,0.5405405405405406,0.7407407407407407,0.625,140,119,49,50,0,30,
20260821_061318_1a3f9c34,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,few_shot,class_list,False,0.3942652329749104,0.582010582010582,0.47008547008547,110,169,79,40,10,50,
20260821_061318_b10285f7,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,few_shot,class_list,True,0.6255707762557078,0.7248677248677249,0.6715686274509804,137,82,52,49,1,21,
20260821_061318_bc693040,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,few_shot,compact,False,0.41935483870967744,0.6190476190476191,0.5,117,162,72,49,1,41,
20260821_061318_2a8f8ee7,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,few_shot,compact,True,0.40484429065743943,0.6190476190476191,0.48953974895397495,117,172,72,49,1,41,
20260821_061318_ec715b94,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,few_shot,json_ld,False,0.5732217573221757,0.7248677248677249,0.6401869158878506,137,102,52,49,1,31,
20260821_061318_a0d4108b,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,few_shot,json_ld,True,0.42328042328042326,0.42328042328042326,0.42328042328042326,80,109,109,30,20,30,
20260821_061318_b5ad960a,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,few_shot,turtle,False,0.5732217573221757,0.7248677248677249,0.6401869158878506,137,102,52,49,1,31,
20260821_061318_42a00b09,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,few_shot,turtle,True,0.4740484429065744,0.7248677248677249,0.5732217573221757,137,152,52,49,1,41,
20260821_061318_1abdb0b1,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,zero_shot,class_list,False,0.4602510460251046,0.582010582010582,0.514018691588785,110,129,79,40,10,40,
20260821_061318_5b5bacde,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,zero_shot,class_list,True,0.6255707762557078,0.7248677248677249,0.6715686274509804,137,82,52,49,1,21,
20260821_061318_81b04cce,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,zero_shot,compact,False,0.4517374517374517,0.6190476190476191,0.5223214285714285,117,142,72,49,1,31,
20260821_061318_68688ff5,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,zero_shot,compact,True,0.46987951807228917,0.6190476190476191,0.5342465753424658,117,132,72,49,1,31,
20260821_061318_9adf240f,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,zero_shot,json_ld,False,0.6712328767123288,0.7777777777777778,0.7205882352941178,147,72,42,49,1,21,
20260821_061318_c95ec491,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,zero_shot,json_ld,True,0.6255707762557078,0.7248677248677249,0.6715686274509804,137,82,52,49,1,21,
20260821_061318_267041e9,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,zero_shot,turtle,False,0.5982532751091703,0.7248677248677249,0.6555023923444976,137,92,52,49,1,31,
20260821_061318_fc975a58,2026-08-21-0812-adsb-experiment,openrouter,moonshotai/kimi-k3,zero_shot,turtle,True,0.6555023923444976,0.7248677248677249,0.6884422110552764,137,72,52,49,1,21,
20260821_061318_7133d72e,2026-08-21-0812-adsb-experiment,openrouter,openai/gpt-5.6-sol,chain_of_thought,class_list,False,0.5732217573221757,0.7248677248677249,0.6401869158878506,137,102,52,49,1,31,
20260821_061318_5f1a42f6,2026-08-21-0812-adsb-experiment,openrouter,openai/gpt-5.6-sol,chain_of_thought,class_list,True,0.3806228373702422,0.582010582010582,0.46025104602510464,110,179,79,40,10,50,
