run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260810_094108_b9e1aa5c,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,False,0.2857142857142857,0.10309278350515463,0.15151515151515152,20,50,174,10,47,10,
20260810_094108_ad03ca1a,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,class_list,True,0.2857142857142857,0.10309278350515463,0.15151515151515152,20,50,174,10,47,9,
20260810_094108_6d75bbba,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,False,0.36363636363636365,0.41237113402061853,0.3864734299516908,80,140,114,30,27,30,
20260810_094108_99773e7f,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,compact,True,0.2413793103448276,0.36082474226804123,0.2892561983471075,70,220,124,30,27,50,
20260810_094108_c852eb66,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,False,0.0,0.0,0.0,0,0,194,0,57,0,
20260810_094108_cd3ff4b8,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,json_ld,True,0.35398230088495575,0.20618556701030927,0.260586319218241,40,73,154,20,37,0,
20260810_094108_590cf52e,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,False,0.5,0.25773195876288657,0.3401360544217687,50,50,144,20,37,0,
20260810_094108_4882cf9f,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,chain_of_thought,turtle,True,0.19801980198019803,0.10309278350515463,0.13559322033898305,20,81,174,10,47,17,
20260810_094108_a35e9328,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,False,0.3691275167785235,0.5670103092783505,0.44715447154471544,110,188,84,40,17,38,
20260810_094108_7002abc6,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,class_list,True,0.0,0.0,0.0,0,0,194,0,57,0,
20260810_094108_5b2529bb,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,compact,False,0.25477707006369427,0.41237113402061853,0.3149606299212598,80,234,114,30,27,57,
20260810_094108_38865ad9,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,False,0.30303030303030304,0.41237113402061853,0.34934497816593885,80,184,114,30,27,47,
20260810_094108_2dddb56f,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,json_ld,True,0.2222222222222222,0.10309278350515463,0.14084507042253522,20,70,174,10,47,10,
20260810_094108_36edd5a4,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,False,0.4330708661417323,0.5670103092783505,0.49107142857142866,110,144,84,40,17,27,
20260810_094108_d8d29b2c,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,few_shot,turtle,True,0.0,0.0,0.0,0,171,194,0,57,46,
20260810_094108_4ee46350,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,False,0.23529411764705882,0.10309278350515463,0.1433691756272401,20,65,174,10,47,11,
20260810_094108_d7527f0c,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,class_list,True,0.29069767441860467,0.5154639175257731,0.37174721189591076,100,244,94,40,17,47,
20260810_094108_33268020,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,False,0.19230769230769232,0.10309278350515463,0.1342281879194631,20,84,174,10,47,11,
20260810_094108_a4fa39ea,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,compact,True,0.12987012987012986,0.10309278350515463,0.11494252873563218,20,134,174,10,47,27,
20260810_094108_c5933d24,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,False,0.0,0.0,0.0,0,135,194,0,57,21,
20260810_094108_40b20955,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,json_ld,True,0.15432098765432098,0.25773195876288657,0.19305019305019303,50,274,144,20,37,57,
20260810_094108_33baa49f,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,False,0.373134328358209,0.25773195876288657,0.30487804878048785,50,84,144,20,37,11,
20260810_094108_a1799a12,2026-08-10-marinetraffic-experiment,openrouter,deepseek/deepseek-v4-flash,zero_shot,turtle,True,0.0,0.0,0.0,0,0,194,0,57,0,
20260810_094108_6bb10a37,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,class_list,False,0.0,0.0,0.0,0,20,194,0,57,10,
20260810_094108_01b3dba4,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,class_list,True,0.0,0.0,0.0,0,30,194,0,57,10,
20260810_094108_a9e0eb56,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,compact,False,0.0,0.0,0.0,0,20,194,0,57,10,
20260810_094108_55e07c8f,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,compact,True,0.0,0.0,0.0,0,20,194,0,57,10,
20260810_094108_fdd69806,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,json_ld,False,0.0,0.0,0.0,0,70,194,0,57,10,
20260810_094108_b247dd0c,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,json_ld,True,0.0,0.0,0.0,0,43,194,0,57,10,
20260810_094108_23060f1a,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,chain_of_thought,turtle,True,0.0,0.0,0.0,0,60,194,0,57,10,
20260810_094108_5547329c,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,class_list,False,0.0,0.0,0.0,0,82,194,0,57,21,
20260810_094108_6a393006,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,class_list,True,0.3225806451612903,0.10309278350515463,0.15624999999999997,20,42,174,10,47,11,
20260810_094108_7ffca90f,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,compact,False,0.0,0.0,0.0,0,30,194,0,57,10,
20260810_094108_48adec9e,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,compact,True,0.0,0.0,0.0,0,66,194,0,57,18,
20260810_094108_f4069688,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,json_ld,False,0.0,0.0,0.0,0,30,194,0,57,10,
20260810_094108_1eaa5799,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,json_ld,True,0.0,0.0,0.0,0,70,194,0,57,10,
20260810_094108_cb8d25b0,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,turtle,False,0.0,0.0,0.0,0,46,194,0,57,13,
20260810_094108_1eb4dc95,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,few_shot,turtle,True,0.43478260869565216,0.10309278350515463,0.16666666666666666,20,26,174,10,47,3,
20260810_094108_a5954a19,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,class_list,False,0.5,0.10309278350515463,0.17094017094017094,20,20,174,10,47,0,
20260810_094108_e1246240,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,class_list,True,0.0,0.0,0.0,0,30,194,0,57,10,
20260810_094108_18cd22ea,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,compact,False,0.0,0.0,0.0,0,30,194,0,57,10,
20260810_094108_1ff3bcb4,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,compact,True,0.0,0.0,0.0,0,30,194,0,57,10,
20260810_094108_1e2c2181,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,json_ld,False,0.5,0.10309278350515463,0.17094017094017094,20,20,174,10,47,0,
20260810_094108_254fb7a4,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,json_ld,True,0.0,0.0,0.0,0,80,194,0,57,10,
20260810_094108_f98d4781,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,turtle,False,0.5,0.10309278350515463,0.17094017094017094,20,20,174,10,47,0,
20260810_094108_516a962b,2026-08-10-marinetraffic-experiment,openrouter,meta-llama/llama-3.3-70b-instruct,zero_shot,turtle,True,0.5,0.10309278350515463,0.17094017094017094,20,20,174,10,47,0,
20260810_094108_b30c3de6,2026-08-10-marinetraffic-experiment,openrouter,openai/gpt-oss-120b,chain_of_thought,json_ld,False,0.0,0.0,0.0,0,80,194,0,57,10,
20260810_094108_0e809ce5,2026-08-10-marinetraffic-experiment,openrouter,openai/gpt-oss-120b,few_shot,class_list,False,0.4117647058823529,0.36082474226804123,0.38461538461538464,70,100,124,30,27,20,
